feature_name,source_column,feature_group,lag,transformation,availability,leakage_status,description
pressure_barcelona_lag_24,pressure_Barcelona,historical_weather,24,shift(+24),historical_observation_only,SAFE,Barcelona pressure observation at t-24; same-hour weather excluded
pressure_barcelona_lag_168,pressure_Barcelona,historical_weather,168,shift(+168),historical_observation_only,SAFE,Barcelona pressure observation at t-168; same-hour weather excluded
wind_speed_barcelona_lag_24,wind_speed_Barcelona,historical_weather,24,shift(+24),historical_observation_only,SAFE,Barcelona wind_speed observation at t-24; same-hour weather excluded
wind_speed_barcelona_lag_168,wind_speed_Barcelona,historical_weather,168,shift(+168),historical_observation_only,SAFE,Barcelona wind_speed observation at t-168; same-hour weather excluded
clouds_all_barcelona_lag_24,clouds_all_Barcelona,historical_weather,24,shift(+24),historical_observation_only,SAFE,Barcelona clouds_all observation at t-24; same-hour weather excluded
clouds_all_barcelona_lag_168,clouds_all_Barcelona,historical_weather,168,shift(+168),historical_observation_only,SAFE,Barcelona clouds_all observation at t-168; same-hour weather excluded
rain_1h_barcelona_lag_24,rain_1h_Barcelona,historical_weather,24,shift(+24),historical_observation_only,SAFE,Barcelona rain_1h observation at t-24; same-hour weather excluded
rain_1h_barcelona_lag_168,rain_1h_Barcelona,historical_weather,168,shift(+168),historical_observation_only,SAFE,Barcelona rain_1h observation at t-168; same-hour weather excluded
rain_3h_barcelona_lag_24,rain_3h_Barcelona,historical_weather,24,shift(+24),historical_observation_only,SAFE,Barcelona rain_3h observation at t-24; same-hour weather excluded
rain_3h_barcelona_lag_168,rain_3h_Barcelona,historical_weather,168,shift(+168),historical_observation_only,SAFE,Barcelona rain_3h observation at t-168; same-hour weather excluded
snow_3h_barcelona_lag_24,snow_3h_Barcelona,historical_weather,24,shift(+24),historical_observation_only,SAFE,Barcelona snow_3h observation at t-24; same-hour weather excluded
snow_3h_barcelona_lag_168,snow_3h_Barcelona,historical_weather,168,shift(+168),historical_observation_only,SAFE,Barcelona snow_3h observation at t-168; same-hour weather excluded
wind_deg_sin_bilbao_lag_24,wind_deg_Bilbao,historical_weather,24,sin(deg2rad(wind_deg)) then shift(+24),historical_observation_only,SAFE,Bilbao wind direction sine at t-24; direction is not averaged in degrees
wind_deg_cos_bilbao_lag_24,wind_deg_Bilbao,historical_weather,24,cos(deg2rad(wind_deg)) then shift(+24),historical_observation_only,SAFE,Bilbao wind direction cosine at t-24
wind_deg_sin_bilbao_lag_168,wind_deg_Bilbao,historical_weather,168,sin(deg2rad(wind_deg)) then shift(+168),historical_observation_only,SAFE,Bilbao wind direction sine at t-168; direction is not averaged in degrees
wind_deg_cos_bilbao_lag_168,wind_deg_Bilbao,historical_weather,168,cos(deg2rad(wind_deg)) then shift(+168),historical_observation_only,SAFE,Bilbao wind direction cosine at t-168
temp_bilbao_lag_24,temp_Bilbao,historical_weather,24,shift(+24),historical_observation_only,SAFE,Bilbao temp observation at t-24; same-hour weather excluded
temp_bilbao_lag_168,temp_Bilbao,historical_weather,168,shift(+168),historical_observation_only,SAFE,Bilbao temp observation at t-168; same-hour weather excluded
humidity_bilbao_lag_24,humidity_Bilbao,historical_weather,24,shift(+24),historical_observation_only,SAFE,Bilbao humidity observation at t-24; same-hour weather excluded
humidity_bilbao_lag_168,humidity_Bilbao,historical_weather,168,shift(+168),historical_observation_only,SAFE,Bilbao humidity observation at t-168; same-hour weather excluded
pressure_bilbao_lag_24,pressure_Bilbao,historical_weather,24,shift(+24),historical_observation_only,SAFE,Bilbao pressure observation at t-24; same-hour weather excluded
pressure_bilbao_lag_168,pressure_Bilbao,historical_weather,168,shift(+168),historical_observation_only,SAFE,Bilbao pressure observation at t-168; same-hour weather excluded
wind_speed_bilbao_lag_24,wind_speed_Bilbao,historical_weather,24,shift(+24),historical_observation_only,SAFE,Bilbao wind_speed observation at t-24; same-hour weather excluded
wind_speed_bilbao_lag_168,wind_speed_Bilbao,historical_weather,168,shift(+168),historical_observation_only,SAFE,Bilbao wind_speed observation at t-168; same-hour weather excluded
clouds_all_bilbao_lag_24,clouds_all_Bilbao,historical_weather,24,shift(+24),historical_observation_only,SAFE,Bilbao clouds_all observation at t-24; same-hour weather excluded
clouds_all_bilbao_lag_168,clouds_all_Bilbao,historical_weather,168,shift(+168),historical_observation_only,SAFE,Bilbao clouds_all observation at t-168; same-hour weather excluded
rain_1h_bilbao_lag_24,rain_1h_Bilbao,historical_weather,24,shift(+24),historical_observation_only,SAFE,Bilbao rain_1h observation at t-24; same-hour weather excluded
rain_1h_bilbao_lag_168,rain_1h_Bilbao,historical_weather,168,shift(+168),historical_observation_only,SAFE,Bilbao rain_1h observation at t-168; same-hour weather excluded
rain_3h_bilbao_lag_24,rain_3h_Bilbao,historical_weather,24,shift(+24),historical_observation_only,SAFE,Bilbao rain_3h observation at t-24; same-hour weather excluded
rain_3h_bilbao_lag_168,rain_3h_Bilbao,historical_weather,168,shift(+168),historical_observation_only,SAFE,Bilbao rain_3h observation at t-168; same-hour weather excluded
snow_3h_bilbao_lag_24,snow_3h_Bilbao,historical_weather,24,shift(+24),historical_observation_only,SAFE,Bilbao snow_3h observation at t-24; same-hour weather excluded
snow_3h_bilbao_lag_168,snow_3h_Bilbao,historical_weather,168,shift(+168),historical_observation_only,SAFE,Bilbao snow_3h observation at t-168; same-hour weather excluded
wind_deg_sin_madrid_lag_24,wind_deg_Madrid,historical_weather,24,sin(deg2rad(wind_deg)) then shift(+24),historical_observation_only,SAFE,Madrid wind direction sine at t-24; direction is not averaged in degrees
wind_deg_cos_madrid_lag_24,wind_deg_Madrid,historical_weather,24,cos(deg2rad(wind_deg)) then shift(+24),historical_observation_only,SAFE,Madrid wind direction cosine at t-24
wind_deg_sin_madrid_lag_168,wind_deg_Madrid,historical_weather,168,sin(deg2rad(wind_deg)) then shift(+168),historical_observation_only,SAFE,Madrid wind direction sine at t-168; direction is not averaged in degrees
wind_deg_cos_madrid_lag_168,wind_deg_Madrid,historical_weather,168,cos(deg2rad(wind_deg)) then shift(+168),historical_observation_only,SAFE,Madrid wind direction cosine at t-168
temp_madrid_lag_24,temp_Madrid,historical_weather,24,shift(+24),historical_observation_only,SAFE,Madrid temp observation at t-24; same-hour weather excluded
temp_madrid_lag_168,temp_Madrid,historical_weather,168,shift(+168),historical_observation_only,SAFE,Madrid temp observation at t-168; same-hour weather excluded
humidity_madrid_lag_24,humidity_Madrid,historical_weather,24,shift(+24),historical_observation_only,SAFE,Madrid humidity observation at t-24; same-hour weather excluded
humidity_madrid_lag_168,humidity_Madrid,historical_weather,168,shift(+168),historical_observation_only,SAFE,Madrid humidity observation at t-168; same-hour weather excluded
pressure_madrid_lag_24,pressure_Madrid,historical_weather,24,shift(+24),historical_observation_only,SAFE,Madrid pressure observation at t-24; same-hour weather excluded
pressure_madrid_lag_168,pressure_Madrid,historical_weather,168,shift(+168),historical_observation_only,SAFE,Madrid pressure observation at t-168; same-hour weather excluded
wind_speed_madrid_lag_24,wind_speed_Madrid,historical_weather,24,shift(+24),historical_observation_only,SAFE,Madrid wind_speed observation at t-24; same-hour weather excluded
wind_speed_madrid_lag_168,wind_speed_Madrid,historical_weather,168,shift(+168),historical_observation_only,SAFE,Madrid wind_speed observation at t-168; same-hour weather excluded
clouds_all_madrid_lag_24,clouds_all_Madrid,historical_weather,24,shift(+24),historical_observation_only,SAFE,Madrid clouds_all observation at t-24; same-hour weather excluded
clouds_all_madrid_lag_168,clouds_all_Madrid,historical_weather,168,shift(+168),historical_observation_only,SAFE,Madrid clouds_all observation at t-168; same-hour weather excluded
rain_1h_madrid_lag_24,rain_1h_Madrid,historical_weather,24,shift(+24),historical_observation_only,SAFE,Madrid rain_1h observation at t-24; same-hour weather excluded
rain_1h_madrid_lag_168,rain_1h_Madrid,historical_weather,168,shift(+168),historical_observation_only,SAFE,Madrid rain_1h observation at t-168; same-hour weather excluded
rain_3h_madrid_lag_24,rain_3h_Madrid,historical_weather,24,shift(+24),historical_observation_only,SAFE,Madrid rain_3h observation at t-24; same-hour weather excluded
rain_3h_madrid_lag_168,rain_3h_Madrid,historical_weather,168,shift(+168),historical_observation_only,SAFE,Madrid rain_3h observation at t-168; same-hour weather excluded
snow_3h_madrid_lag_24,snow_3h_Madrid,historical_weather,24,shift(+24),historical_observation_only,SAFE,Madrid snow_3h observation at t-24; same-hour weather excluded
snow_3h_madrid_lag_168,snow_3h_Madrid,historical_weather,168,shift(+168),historical_observation_only,SAFE,Madrid snow_3h observation at t-168; same-hour weather excluded
wind_deg_sin_seville_lag_24,wind_deg_Seville,historical_weather,24,sin(deg2rad(wind_deg)) then shift(+24),historical_observation_only,SAFE,Seville wind direction sine at t-24; direction is not averaged in degrees
wind_deg_cos_seville_lag_24,wind_deg_Seville,historical_weather,24,cos(deg2rad(wind_deg)) then shift(+24),historical_observation_only,SAFE,Seville wind direction cosine at t-24
wind_deg_sin_seville_lag_168,wind_deg_Seville,historical_weather,168,sin(deg2rad(wind_deg)) then shift(+168),historical_observation_only,SAFE,Seville wind direction sine at t-168; direction is not averaged in degrees
wind_deg_cos_seville_lag_168,wind_deg_Seville,historical_weather,168,cos(deg2rad(wind_deg)) then shift(+168),historical_observation_only,SAFE,Seville wind direction cosine at t-168
temp_seville_lag_24,temp_Seville,historical_weather,24,shift(+24),historical_observation_only,SAFE,Seville temp observation at t-24; same-hour weather excluded
temp_seville_lag_168,temp_Seville,historical_weather,168,shift(+168),historical_observation_only,SAFE,Seville temp observation at t-168; same-hour weather excluded
humidity_seville_lag_24,humidity_Seville,historical_weather,24,shift(+24),historical_observation_only,SAFE,Seville humidity observation at t-24; same-hour weather excluded
humidity_seville_lag_168,humidity_Seville,historical_weather,168,shift(+168),historical_observation_only,SAFE,Seville humidity observation at t-168; same-hour weather excluded
pressure_seville_lag_24,pressure_Seville,historical_weather,24,shift(+24),historical_observation_only,SAFE,Seville pressure observation at t-24; same-hour weather excluded
pressure_seville_lag_168,pressure_Seville,historical_weather,168,shift(+168),historical_observation_only,SAFE,Seville pressure observation at t-168; same-hour weather excluded
wind_speed_seville_lag_24,wind_speed_Seville,historical_weather,24,shift(+24),historical_observation_only,SAFE,Seville wind_speed observation at t-24; same-hour weather excluded
wind_speed_seville_lag_168,wind_speed_Seville,historical_weather,168,shift(+168),historical_observation_only,SAFE,Seville wind_speed observation at t-168; same-hour weather excluded
clouds_all_seville_lag_24,clouds_all_Seville,historical_weather,24,shift(+24),historical_observation_only,SAFE,Seville clouds_all observation at t-24; same-hour weather excluded
clouds_all_seville_lag_168,clouds_all_Seville,historical_weather,168,shift(+168),historical_observation_only,SAFE,Seville clouds_all observation at t-168; same-hour weather excluded
rain_1h_seville_lag_24,rain_1h_Seville,historical_weather,24,shift(+24),historical_observation_only,SAFE,Seville rain_1h observation at t-24; same-hour weather excluded
rain_1h_seville_lag_168,rain_1h_Seville,historical_weather,168,shift(+168),historical_observation_only,SAFE,Seville rain_1h observation at t-168; same-hour weather excluded
rain_3h_seville_lag_24,rain_3h_Seville,historical_weather,24,shift(+24),historical_observation_only,SAFE,Seville rain_3h observation at t-24; same-hour weather excluded
rain_3h_seville_lag_168,rain_3h_Seville,historical_weather,168,shift(+168),historical_observation_only,SAFE,Seville rain_3h observation at t-168; same-hour weather excluded
snow_3h_seville_lag_24,snow_3h_Seville,historical_weather,24,shift(+24),historical_observation_only,SAFE,Seville snow_3h observation at t-24; same-hour weather excluded
snow_3h_seville_lag_168,snow_3h_Seville,historical_weather,168,shift(+168),historical_observation_only,SAFE,Seville snow_3h observation at t-168; same-hour weather excluded
wind_deg_sin_valencia_lag_24,wind_deg_Valencia,historical_weather,24,sin(deg2rad(wind_deg)) then shift(+24),historical_observation_only,SAFE,Valencia wind direction sine at t-24; direction is not averaged in degrees
wind_deg_cos_valencia_lag_24,wind_deg_Valencia,historical_weather,24,cos(deg2rad(wind_deg)) then shift(+24),historical_observation_only,SAFE,Valencia wind direction cosine at t-24
wind_deg_sin_valencia_lag_168,wind_deg_Valencia,historical_weather,168,sin(deg2rad(wind_deg)) then shift(+168),historical_observation_only,SAFE,Valencia wind direction sine at t-168; direction is not averaged in degrees
wind_deg_cos_valencia_lag_168,wind_deg_Valencia,historical_weather,168,cos(deg2rad(wind_deg)) then shift(+168),historical_observation_only,SAFE,Valencia wind direction cosine at t-168
temp_valencia_lag_24,temp_Valencia,historical_weather,24,shift(+24),historical_observation_only,SAFE,Valencia temp observation at t-24; same-hour weather excluded
temp_valencia_lag_168,temp_Valencia,historical_weather,168,shift(+168),historical_observation_only,SAFE,Valencia temp observation at t-168; same-hour weather excluded
humidity_valencia_lag_24,humidity_Valencia,historical_weather,24,shift(+24),historical_observation_only,SAFE,Valencia humidity observation at t-24; same-hour weather excluded
humidity_valencia_lag_168,humidity_Valencia,historical_weather,168,shift(+168),historical_observation_only,SAFE,Valencia humidity observation at t-168; same-hour weather excluded
pressure_valencia_lag_24,pressure_Valencia,historical_weather,24,shift(+24),historical_observation_only,SAFE,Valencia pressure observation at t-24; same-hour weather excluded
pressure_valencia_lag_168,pressure_Valencia,historical_weather,168,shift(+168),historical_observation_only,SAFE,Valencia pressure observation at t-168; same-hour weather excluded
wind_speed_valencia_lag_24,wind_speed_Valencia,historical_weather,24,shift(+24),historical_observation_only,SAFE,Valencia wind_speed observation at t-24; same-hour weather excluded
wind_speed_valencia_lag_168,wind_speed_Valencia,historical_weather,168,shift(+168),historical_observation_only,SAFE,Valencia wind_speed observation at t-168; same-hour weather excluded
clouds_all_valencia_lag_24,clouds_all_Valencia,historical_weather,24,shift(+24),historical_observation_only,SAFE,Valencia clouds_all observation at t-24; same-hour weather excluded
clouds_all_valencia_lag_168,clouds_all_Valencia,historical_weather,168,shift(+168),historical_observation_only,SAFE,Valencia clouds_all observation at t-168; same-hour weather excluded
rain_1h_valencia_lag_24,rain_1h_Valencia,historical_weather,24,shift(+24),historical_observation_only,SAFE,Valencia rain_1h observation at t-24; same-hour weather excluded
rain_1h_valencia_lag_168,rain_1h_Valencia,historical_weather,168,shift(+168),historical_observation_only,SAFE,Valencia rain_1h observation at t-168; same-hour weather excluded
rain_3h_valencia_lag_24,rain_3h_Valencia,historical_weather,24,shift(+24),historical_observation_only,SAFE,Valencia rain_3h observation at t-24; same-hour weather excluded
rain_3h_valencia_lag_168,rain_3h_Valencia,historical_weather,168,shift(+168),historical_observation_only,SAFE,Valencia rain_3h observation at t-168; same-hour weather excluded
